"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.82457318972523,0.752989591245126,-6.40722427749291,1.48192749293596e-10
"BA1",1.03627974057666,0.291084936813956,3.56005965791004,0.000370770552635293
"FIRE1",2.64445997061629,0.411068236566503,6.43314110743379,1.24993511024172e-10
"WIRE1",0.62499246494123,0.26872434493681,2.32577537806705,0.0200305368168723
"FORB1",0.000552151902853083,0.314482051822232,0.00175575012835772,0.998599114799698
"WOOD1",0.114102863103006,0.504601466101251,0.226124715777403,0.821104421982678
"BARE1",0.250193241913008,0.41085194340303,0.608962050515551,0.542549593368161
"MIDHARD1",0.166371215057582,0.37411144173261,0.444710309545926,0.656529117953378
