alpha.p	1	2000
alpha.psi	2001	4000
beta1.p	4001	6000
beta1.psi	6001	8000
beta2.p	8001	10000
beta2.psi	10001	12000
beta3.p	12001	14000
beta3.psi	14001	16000
beta4.psi	16001	18000
beta5.p	18001	20000
beta5.psi	20001	22000
beta6.psi	22001	24000
beta7.psi	24001	26000
deviance	26001	28000
mean.p	28001	30000
occ.fs	30001	32000
