"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-6.31177614647802,0.5788219248318,-10.9045215388345,1.09668687738253e-27
"HabQIndex",0.411150448783263,0.0442254833131005,9.29668638943899,1.44890817974192e-20
