"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-6.14617921217328,0.870451611690031,-7.06090853257211,1.65417458202062e-12
"BA",1.00965377345199,0.260812240545688,3.87119013793037,0.000108305268917407
"FIRE",1.07222999411859,0.179450195451894,5.97508401380384,2.29971636490357e-09
"WIRE",0.586840119148467,0.210367918669377,2.78958941487066,0.00527749215481618
"FORB",0.0924716004932787,0.267211067172945,0.346062015587958,0.729296108905184
"WOOD",0.147714265388732,0.223431738119422,0.661115858615304,0.50853801583045
"BARE",0.309345603655705,0.203816786411592,1.5177631298288,0.129074122943781
"MIDHARD",0.0985610800108245,0.347573398420851,0.283569112189317,0.776740610701409
