"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.psi",-6.24747766666667,0.593693164880561,-7.461,-6.651,-6.2085,-5.839,-5.160975,1.01965228952502,190
"beta.psi",0.419704233333333,0.0467297965261282,0.334097499635142,0.38707499757778,0.41654999699916,0.450424997918786,0.515704999054924,1.01980851205437,210
"mean.p",0.3941745,0.0518280675819556,0.297487489747057,0.3587,0.3925,0.4297,0.498202499755402,1.00121159991671,2800
"occ.fs",121.591666666667,6.37504072695323,112,117,121,125,136,1.00090797097883,3000
"alpha.p",-0.43484381091,0.219440012042037,-0.859555,-0.580825,-0.43685,-0.2831,-0.00716752499999997,1.00124714193477,2700
"beta1.p",-0.523258780066667,0.213388013687591,-0.92255,-0.6681,-0.5296,-0.375825,-0.09531925,1.00084392053279,3000
"beta2.p",2.09216796666667,0.397214601616193,1.36692491964431,1.81524953493171,2.07549993977355,2.353,2.93209993355217,1.00049899470477,3000
"deviance",265.9675,26.1771741898584,222.097499451098,246.974996203557,263.4,282.724996684448,323.904998495518,1.00123513570419,2700
