"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha.psi",-6.27326133333333,0.573625840805633,-7.45805,-6.64725,-6.254,-5.881,-5.203975,1.00508793842534,440
"betahabqi.psi",0.424890533333333,0.0449932391318008,0.342397499643988,0.3954,0.423,0.4549,0.5158,1.00510802643928,440
"mean.p",0.507479,0.0662481126005945,0.380294998717673,0.461474997968324,0.5081,0.551199972793228,0.636902499808663,1.00158657702924,1800
"occ.fs",123.795333333333,6.25271757301614,113,119,123,128,138,1.00076491285821,3000
"alpha.p",0.0305714967933333,0.269836963174865,-0.4884125,-0.15435,0.03241,0.2054,0.5618125,1.00174408679055,1600
"beta1.p",2.19584943333333,0.405872213671934,1.44192492382943,1.918,2.188,2.45124996175941,3.06404998409626,1.00094629275107,3000
"beta2.p",-0.5465955399,0.217309558510236,-0.964005,-0.69655,-0.5497,-0.401425,-0.1100975,1.0011954153247,2900
"beta3.p",-0.07953423496,0.194289873648548,-0.4734175,-0.20695,-0.07968,0.05074,0.3006525,1.00055257918323,3000
"beta5.p",-0.509068248333333,0.171842439417078,-0.8450075,-0.6218,-0.50915,-0.390475,-0.18009,1.0006523912112,3000
"deviance",261.0171,23.8926156643518,219.992495009724,243.9,259.149995176539,275.9,313.412490288198,1.00063574199852,3000
